mse_2d,ssim_2d,psnr_2d
0.00019167538,0.9487016801249109,37.17433795452656
0.00041279328,0.9263065408832468,33.84267301184894
0.0003884096,0.9101183217114214,34.10710128457187
0.0004437085,0.9303797566302273,33.52902205264282
0.0002107689,0.9452191843795257,36.76193513248914
0.00056256825,0.9207475218777735,32.49824693582544
0.0002224524,0.9488098459166964,36.527627772505404
0.0003241164,0.9201417452181905,34.89298892843304
0.00017061208,0.9529629085207522,37.67990127023777
0.0011912481,0.9113045347599938,29.239978032288594
0.00073089456,0.8599126069245321,31.36145324714948
0.00023730751,0.9332780292264471,36.24688719798483
0.00062732416,0.9030847385072786,32.02508042718827
0.00029034007,0.9370998705473413,35.370930880506215
0.00064485427,0.9228991713875666,31.90538370966847
0.0010971007,0.8217228266110267,29.59753573552334
0.00023412298,0.9328629725108527,36.30555929834419
0.0005264987,0.9065876485191454,32.78602642285207
0.00023942658,0.9452053766779626,36.20827775851357
0.00026438278,0.9456347508299717,35.77766778179736
0.0005264126,0.9234716840584977,32.78673673382281
0.00031149414,0.9272700160904751,35.06550130483909
0.00063094107,0.8795972431928775,32.00011185758384
0.00054190477,0.9191746257529357,32.66076939933675
0.00028410225,0.9331854206772384,35.46525520731576
0.00029466822,0.9034643771389333,35.306667410989355
0.0008055154,0.892834801081928,30.93926138733151
0.0002941107,0.9382781435721191,35.31489293628328
0.00013975825,0.9464775458257492,38.54622386574577
0.00018070918,0.9459988751749178,37.43019900717372
0.00037755145,0.8828795898915782,34.23023772956226
0.00032899962,0.9489223784567189,34.82804621110742
0.00056816306,0.9172940685890104,32.45527001577893
0.0005252906,0.9320913644900938,32.796003910482
0.0005475937,0.920900019307258,32.61541511195957
0.00031603043,0.9470352132814899,35.00271230007783
0.0004384809,0.9092084746009617,33.5804937120538
0.0004347973,0.9029333127446945,33.61713167617768
0.0002594102,0.9502382323653148,35.86013012248315
0.00014979983,0.9502999087274805,38.244886343950945
0.0006388305,0.8716284198264047,31.946142719949176
0.0001921914,0.9442697828638013,37.16266234737471
0.00037713713,0.9569810447797437,34.235006960365865
0.00021491035,0.935528516318993,36.67742676486721
0.00025449513,0.9338515435874187,35.943205442898794
0.00021364885,0.9555782546481768,36.702993818059234
0.0004470374,0.8518896616042092,33.49656104836734
0.0006747825,0.9076694926417207,31.70836249845539
0.00020598406,0.9158211290837158,36.86166444948427
0.00079626124,0.8332714534184436,30.9894449609588
0.00029238148,0.9025205275495685,35.340501407024625
0.00020048622,0.9559676396187804,36.97915361162559
0.00042019412,0.9224594688347971,33.76549969221065
0.0002214545,0.9320688100419554,36.547156147007335
0.0001986214,0.9422863334227142,37.01973866819917
0.00023467996,0.9431008599638533,36.295238045054944
0.0001683408,0.9558708016145531,37.73810535228988
0.00017806674,0.9360916661118285,37.494172553845374
0.00014724451,0.9605204929822962,38.319607744669796
0.00025219563,0.9329661109211415,35.98262252458169
